Name,Partido,,TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO,TELEFONÍA,TRASLACIÓN,DIFUSIÓN,ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD,ARRIENDO DE INMUEBLE,CONSUMOS BÁSICOS,EQUIPAMIENTO OFICINA PARLAMENTARIA,MATERIALES DE OFICINA,CORRESPONDENCIA,GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE),REPARACIONES LOCATIVAS DEL INMUEBLE,HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP),SEGUROS DE BIENES,ARRIENDO DE OFICINAS VIRTUALES,SERVICIOS WEB,CONTRATACIÓN SERVICIO DE ALMACENAMIENTO,ARRIENDO DE OFICINA MÓVIL,MANTENCION Y REPARACIÓN DE OFICINA MÓVIL,SERVICIOS MENORES,COVID-19 PERSONAL DE APOYO
Sra. Natalia Romero,IND,,300000,28575,2791074,416000,0,0,0,0,44435,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Jaime Sáez,RD,,192331,980601,783610,1687000,0,1155614,0,2059865,34595,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Jorge Saffirio,DC,,785031,596750,1355396,474100,0,1170000,0,1028825,37384,5500,54000,0,0,0,0,0,0,0,0,500000,0
Sra. Clara Sagardia,IND,,486758,0,1949257,0,0,430000,0,786998,427847,0,0,0,0,0,0,0,0,0,0,500000,20000
Sr. Luis Sánchez,PREP,,0,334460,1425531,0,0,2250000,0,2468827,149826,0,0,0,0,0,0,0,0,0,0,499000,0
Sra. Emilia Schneider,COMUNES,,207501,297460,1815826,21798,15250,1955000,35980,201190,184191,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Stephan Schubert,IND,,1143457,924698,2005069,0,0,1065922,0,0,0,0,0,0,0,0,0,0,0,0,0,499000,0
Sra. Daniela Serrano,PC,,2052195,0,1115579,361760,0,690000,60643,0,0,0,0,0,0,0,0,71795,0,0,0,500000,0
Sr. Marco Antonio Sulantay,UDI,,0,0,2684693,0,0,910000,0,0,0,0,0,0,0,0,0,0,0,0,0,499000,0
Sr. Cristián Tapia,IND,,328637,849446,3040717,1028979,0,1450000,0,0,59653,11489,0,0,0,0,0,0,0,0,0,487626,0
Sr. Hotuiti Teao,IND,,0,1334686,646415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Carolina Tello,PC,,1664454,761961,1873244,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Héctor Ulloa,IND,,296898,64067,782789,0,13800,1205915,12957,2776711,120361,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Alberto Undurraga,DC,,145396,0,1203279,0,0,1446878,150772,0,49988,0,0,0,0,0,0,0,0,0,0,316600,0
Sra. Consuelo Veloso,RD,,211814,774945,2012262,0,0,959444,0,748410,5820,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Nelson Venegas,PS,,45031,1663180,811737,357000,0,177666,0,577930,157979,0,0,0,0,0,0,1249500,0,0,0,500000,0
Sr. Sebastián Videla,IND,,2414157,0,1057135,0,0,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sra. Flor Weisse,UDI,,0,25980,2855369,290001,0,880000,25478,1380965,0,8359,0,0,0,0,0,0,0,0,0,500000,0
Sr. Jaime Naranjo,PS,,722220,17992,2148305,339000,0,1125000,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. René Alinco,IND,,2275045,168622,1136934,628500,0,0,0,0,470899,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Sergio Bobadilla,UDI,,2008201,105172,2897637,0,0,792800,52175,0,0,8066,0,0,0,0,0,0,0,0,0,500000,0
Sr. Jaime Mulet,FRVS,,37674,111012,2406880,2514923,0,585000,26275,0,147075,28170,0,0,0,0,0,0,0,0,0,500000,0
Sr. Gastón Von Mühlenbrock,UDI,,0,907271,1415488,965400,0,1828597,0,0,43734,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Gaspar Rivas,PDG,,0,0,1963547,1049798,0,0,0,0,5581,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Frank Sauerbaum,RN,,1800000,194204,1843576,440300,0,1008933,0,0,6540,19360,0,0,0,0,0,0,0,0,0,500000,0
Sr. Bernardo Berger,IND,,0,42726,1508032,357000,0,777855,268338,0,26503,4033,400000,0,0,0,0,0,0,0,0,500000,0
Sra. Karol Cariola,PC,,1639276,173055,1216827,693000,0,1000000,0,444990,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Daniella Cicardini,PS,,969470,1838242,1609130,0,12500,0,0,0,54885,26209,0,0,0,0,0,0,0,0,0,500000,0
Sr. Juan Antonio Coloma,UDI,,700000,132715,2236908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Joaquín Lavín,UDI,,0,201583,1769571,1000000,0,0,0,476000,14480,0,0,0,0,0,0,1164200,0,0,0,500000,0
Sr. Daniel Melo,PS,,42417,1542669,1316760,0,0,793730,0,687746,136119,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Vlado Mirosevic,LIBERAL,,0,150229,985614,794898,0,1486083,92222,0,0,0,78000,0,0,0,0,0,0,0,0,499997,0
Sr. Jorge Rathgeb,RN,,37521,95432,1875953,867600,0,1075000,159540,191950,644805,3390,166990,0,0,0,0,0,0,0,0,339364,0
